x,y,z
16.8715,268.3609,49.4766
16.848,267.9314,49.5532
16.4474,266.9473,50.0643
15.8631,266.4723,50.6949
15.1001,266.381,51.4481
14.3979,266.7453,52.0631
13.7667,267.7602,52.5998
13.6277,268.8839,52.6125
13.9104,270.0072,52.2601
14.5445,270.6845,51.5054
15.4507,270.8285,50.5725
16.0668,270.4555,50.0072
16.6941,269.4784,49.4942
16.8543,268.7873,49.3851
16.8465,267.4923,49.5369
16.5254,266.9823,49.8719
16.0372,266.5362,50.3903
15.4313,266.3431,51.0507
14.6976,266.4804,51.732
14.113,267.0992,52.3186
13.7179,268.0335,52.6069
13.604,268.9926,52.5938
14.0047,270.1838,52.0797
14.6253,270.7623,51.4447
15.6202,270.7711,50.4326
16.3435,270.1152,49.7536
16.826,268.7936,49.3574
16.8109,267.8,49.5092
16.5221,267.0205,49.86
16.1507,266.6385,50.2912
15.5131,266.3539,50.9396
14.9117,266.3886,51.534
14.1339,267.0334,52.2622
13.7513,267.8791,52.5994
13.6359,268.9192,52.5915
13.9524,270.0484,52.2014
14.4051,270.6256,51.6378
15.252,270.8619,50.7405
15.9786,270.5461,50.075
16.4772,269.9261,49.6084
16.721,269.3461,49.4803
16.8694,268.7431,49.3756
16.8413,267.953,49.4726
16.7369,267.5304,49.623
16.4613,266.8287,49.9525
