2335.800183,135.798878,207.8523383
2303.125553,170.8837797,216.4126513
2336.245784,137.504331,206.5036627
2301.887771,170.0436547,217.9739127
2336.583271,139.3335263,205.1946413
2300.762135,169.072643,219.5004633
2336.712875,141.2263763,204.0148047
2299.741707,167.9490897,221.0216217
2336.727108,143.2055233,202.9028913
2298.841402,166.633875,222.5554003
2336.563423,145.216193,201.9054847
2298.072585,165.251979,224.0005397
2336.243997,147.2845187,201.026468
2297.453585,163.740379,225.3842067
2335.78574,149.3414963,200.2820267
2296.930379,162.1341803,226.738631
2335.147551,151.4031833,199.664225
2296.60369,160.4132257,228.004028
2334.372143,153.485568,199.172558
2296.387813,158.611399,229.199673
2333.498069,155.5251023,198.8205087
2296.323401,156.7653457,230.2817457
2332.445563,157.52405,198.609282
2296.476983,154.814863,231.2736633
2331.28542,159.4749257,198.5209427
2296.694421,152.8846337,232.1406157
2330.03666,161.3049367,198.5933677
2297.125807,150.8768117,232.9030687
2328.661305,163.0587057,198.8043423
2297.692094,148.8588077,233.5532527
2327.179121,164.7347983,199.1448993
2298.31182,146.9282553,234.0811147
2325.625984,166.3052123,199.6417633
2299.179114,144.9174717,234.4596617
2323.996043,167.731819,200.2668537
2300.090363,143.007606,234.725736
2322.308076,169.0391263,201.0105583
2301.17032,141.1245643,234.8419793
2320.589984,170.1748847,201.8777197
2302.349055,139.3296807,234.827099
2318.862241,171.1578423,202.8508967
2303.643503,137.5920147,234.663415
